street,winner,total_pot,is_button,bets,bets_amount,raises,raises_amount,calls,checks,"initial_stack,",id
Turn,GoranPoker,21.0,false,1,66.65,1,2.0,2,2,75.65,137280697110
River,GoranPoker,184.42,false,0,0,3,39.0,2,0,86.71,137280725495
Flop,orelifrach,54.0,false,1,52.05,2,6.0,3,2,69.05,137281034524
River,bübli,78.64,false,1,12.81,2,14.81,3,6,191.62,137281063857
Flop,neomorf,20.18,false,1,5.59,2,7.59,1,1,207.2,137281113102
Flop,SoNe1988,11.0,false,1,7.0,1,2.0,1,1,229.56,137281161137
PreFlop,neomorf,5.0,true,0,0,1,2.0,0,0,215.88,137281199698
PreFlop,orelifrach,2.0,false,0,0,0,0,0,0,103.62,137281223862
Flop,4getDa$,21.0,false,1,13.03,1,2.0,2,1,200.0,137281356858
Flop,4getDa$,21.0,false,1,13.04,1,2.0,2,1,211.06,137281393938
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,223.58,137281423775
PreFlop,neomorf,25.0,false,0,0,2,9.0,2,0,237.02,137281443646
PreFlop,orelifrach,21.0,false,0,0,2,8.0,2,0,92.38,137281489070
Flop,Monsthand,16.0,false,1,9.5,1,2.0,2,2,200.0,137281532808
River,bübli,83.0,false,1,22.0,2,8.0,2,5,223.58,137281573122
Flop,bübli,17.0,false,1,16.24,1,2.0,1,0,263.78,137281606163
River,GoranPoker,42.96,false,1,14.1,1,2.0,2,5,85.86,137281634131
Flop,4getDa$,21.0,false,1,13.04,1,2.0,2,1,219.12,137281684522
PreFlop,Nikoe0,18.64,false,0,0,2,7.88,1,0,200.0,137281722046
PreFlop,neomorf,5.0,false,0,0,1,2.0,0,0,233.42,137281899788
River,GoranPoker,111.0,false,1,18.14,3,66.14,2,4,90.03,137281923513
PreFlop,orelifrach,10.0,false,0,0,1,2.0,1,1,108.2,137281976693
River,orelifrach,132.0,false,3,58.0,1,2.0,5,3,116.2,137282006069
River,4getDa$,80.7,false,1,22.35,1,2.0,5,7,200.0,137282070217
Turn,Monsthand,69.0,true,2,70.0,2,6.0,2,2,204.28,137282119988
PreFlop,orelifrach,47.0,false,0,0,2,13.0,4,0,195.52,137282573158
River,GoranPoker,21.54,false,2,18.27,1,2.0,2,3,160.92,137282609090
River,Nikoe0,26.32,false,1,7.66,1,2.0,2,5,200.0,137282648308
PreFlop,FTPbannedMe,5.0,false,0,0,1,2.0,0,0,233.16,137282698573
PreFlop,orelifrach,5.0,true,0,0,1,2.0,0,0,217.86,137282732382
PreFlop,FTPbannedMe,28.0,false,0,0,2,13.0,2,0,234.16,137282752197
River,Monsthand,6.0,false,0,0,0,0,2,10,212.83,137282839284
PreFlop,hurtNCYDE,4.0,false,0,0,1,2.0,0,0,200.0,137282900413
Turn,orelifrach,44.3,false,2,34.35,1,2.0,3,1,218.86,137282796208
PreFlop,bübli,19.0,false,0,0,2,10.0,1,0,231.02,137282917070
River,GoranPoker,21.92,false,2,33.46,1,2.0,2,3,166.22,137282950875
PreFlop,FTPbannedMe,15.0,false,0,0,2,8.0,0,0,251.16,137282983372
PreFlop,SoNe1988,5.0,false,0,0,1,2.0,0,0,197.0,137282998995
River,orelifrach,43.0,true,2,38.0,1,2.0,3,4,234.52,137283015357
River,SoNe1988,18.0,false,1,15.0,1,2.0,3,4,200.0,137283041156
Flop,4getDa$,21.0,false,1,11.03,1,2.0,2,1,200.0,137283080307
River,4getDa$,65.52,false,2,64.8,1,2.0,4,4,211.06,137283103526
PreFlop,orelifrach,5.0,false,0,0,1,2.0,0,0,255.58,137283160836
Turn,hurtNCYDE,33.62,true,2,31.46,1,2.0,2,1,200.0,137283184794
Flop,Monsthand,11.8,false,1,7.43,1,2.0,1,1,213.56,137283232423
River,FTPbannedMe,135.0,false,1,19.36,3,27.36,2,4,229.4,137283269405
PreFlop,Monsthand,10.0,false,0,0,2,7.0,0,0,222.43,137283377719
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,219.43,137283348694
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,172.02,137283406950
Flop,hurtNCYDE,33.0,true,1,16.39,1,2.0,4,2,213.8,137283506912
River,SoNe1988,179.98,false,2,62.489999999999995,2,10.0,4,2,201.19,137283417144
PreFlop,orelifrach,2.0,false,0,0,0,0,0,0,245.58,137283556289
River,GoranPoker,8.0,false,0,0,1,2.0,1,6,113.29,137283528526
PreFlop,orelifrach,13.0,true,0,0,2,7.0,0,0,244.58,137283588914
Flop,neirfyS,4.0,false,1,2.86,0,0,1,2,200.0,137283562957
PreFlop,SoNe1988,4.0,false,0,0,1,2.0,0,0,287.88,137283614457
PreFlop,SoNe1988,5.0,false,0,0,1,2.0,0,0,289.88,137283702651
Turn,bübli,39.0,false,1,18.62,2,8.0,1,2,167.02,137283634577
River,GoranPoker,21.92,false,2,15.46,1,2.0,2,3,115.93,137283719782
Turn,orelifrach,18.0,false,1,8.0,1,2.0,2,4,252.58,137283750072
PreFlop,SoNe1988,5.0,false,0,0,1,2.0,0,0,299.34,137283824437
River,SoNe1988,12.0,false,0,0,1,2.0,1,6,292.88,137283792411
Flop,Monsthand,15.0,false,1,9.3,1,2.0,1,0,223.43,137283840463
River,GoranPoker,11.3,false,2,15.15,0,0,2,4,120.4,137283872059
Flop,orelifrach,33.0,false,1,18.0,1,2.0,4,2,252.77,137283922968
PreFlop,neirfyS,5.0,false,0,0,1,2.0,0,0,200.0,137283956268
River,GoranPoker,32.74,false,2,56.87,1,2.0,3,3,116.04,137283981401
River,neomorf,150.38,true,3,70.61,2,51.35,3,2,200.0,137284028679
Turn,orelifrach,74.0,false,2,58.65,2,12.65,3,2,274.29,137284108854
PreFlop,SoNe1988,5.0,false,0,0,1,2.0,0,0,299.34,137284150234
Turn,GoranPoker,18.0,false,1,46.75,1,2.0,2,4,51.75,137284162265
PreFlop,neirfyS,5.0,true,0,0,1,2.0,0,0,200.0,137284190914
Turn,FTPbannedMe,45.86,true,2,46.43,1,2.0,3,3,240.73,137284208287
PreFlop,neirfyS,5.0,false,0,0,1,2.0,0,0,200.0,137284254752
River,GoranPoker,156.88,false,2,23.0,2,18.0,8,2,63.94,137284285159
PreFlop,bübli,2.0,false,0,0,0,0,0,0,123.83,137284349522
PreFlop,FTPbannedMe,5.0,false,0,0,1,2.0,0,0,202.16,137284369813
River,orelifrach,4.0,false,1,2.0,0,0,1,5,305.49,137284422436
River,Monsthand,89.8,false,2,38.0,1,2.0,3,4,222.6,137284472785
Turn,FTPbannedMe,48.04,false,2,44.68,1,2.0,3,2,202.16,137284604738
PreFlop,CI58,5.0,false,0,0,1,2.0,0,0,200.0,137284692169
PreFlop,FTPbannedMe,4.0,false,0,0,1,2.0,0,0,227.02,137284680640
PreFlop,I_am_MrTiger,5.0,false,0,0,1,2.0,0,0,200.0,137284660859
River,bübli,9.8,false,0,0,1,2.0,1,6,120.83,137284708844
PreFlop,GoranPoker,8.0,false,0,0,1,2.0,3,0,77.76,137284760054
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,123.79,137284821455
Flop,FTPbannedMe,14.2,false,1,10.0,1,2.0,1,0,229.02,137284788365
PreFlop,GoranPoker,18.0,false,0,0,2,7.0,1,0,82.76,137284837940
PreFlop,hurtNCYDE,5.0,false,0,0,1,2.0,0,0,200.0,137284876486
PreFlop,rmanjkeee,17.0,false,0,0,2,7.0,1,0,129.2,137284892266
River,neomorf,5.0,false,0,0,0,0,1,7,284.42,137284950961
Turn,FTPbannedMe,164.16,false,2,85.33,3,30.0,3,2,233.98,137284985043
Flop,Ravnica11,13.2,false,1,8.0,1,2.0,2,2,69.6,137285068804
Flop,bübli,20.0,true,1,12.0,1,2.0,3,2,115.39,137285113896
Turn,rmanjkeee,28.4,false,2,25.7,1,2.0,2,1,141.2,137285144662
Flop,Ravnica11,156.62,true,1,4.0,5,69.6,2,1,74.81,137285189558
Turn,GoranPoker,7.0,false,1,14.0,0,0,2,5,83.36,137285249339
PreFlop,FTPbannedMe,5.0,true,0,0,1,2.0,0,0,226.75,137285278163
Flop,GoranPoker,39.0,false,1,10.0,2,12.0,2,1,88.04,137285297402
River,GoranPoker,5.0,false,0,0,0,0,1,7,107.28,137285330027
River,GoranPoker,56.0,false,1,22.0,1,2.0,2,4,105.82,137285387057
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,116.25,137285435513
PreFlop,FTPbannedMe,2.0,false,0,0,0,0,0,0,229.75,137285449420
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,119.25,137285462037
PreFlop,bübli,17.0,false,0,0,2,8.0,2,0,122.25,137285476127
PreFlop,neomorf,2.0,false,0,0,0,0,0,0,204.12,137285522988
Flop,GoranPoker,8.0,false,1,6.0,0,0,3,3,130.3,137285539565
Turn,neomorf,9.16,true,1,4.0,1,2.0,1,3,203.12,137285581687
River,_McLobster_,61.0,false,2,58.0,2,7.88,2,2,200.0,137285623453
PreFlop,bübli,5.0,false,0,0,1,2.0,0,0,130.25,137285701012
Flop,bübli,18.64,false,1,14.0,1,2.0,2,2,133.25,137285733731
PreFlop,FTPbannedMe,4.0,false,0,0,1,2.0,0,0,217.87,137285766748
PreFlop,_McLobster_,5.0,false,0,0,1,2.0,0,0,227.26,137285786521
PreFlop,Yaaaazz,19.64,false,0,0,2,7.88,1,0,200.0,137285812551
Flop,bübli,10.0,false,1,6.0,0,0,4,3,139.29,137285860152
PreFlop,Yaaaazz,19.0,false,0,0,2,9.0,1,0,213.76,137285905835
PreFlop,_McLobster_,5.0,false,0,0,1,2.0,0,0,230.26,137285955642
River,GoranPoker,4.0,false,0,0,0,0,1,7,124.86,137285986659
Flop,GoranPoker,16.44,true,1,16.0,1,2.0,2,2,126.68,137286042609
PreFlop,Yaaaazz,5.0,false,0,0,1,2.0,0,0,225.76,137286100431
PreFlop,Yaaaazz,11.8,false,0,0,2,6.9,0,0,200.0,137286200448
Flop,FTPbannedMe,71.0,true,1,31.51,3,21.4,1,1,216.87,137286120094
PreFlop,Yaaaazz,5.0,true,0,0,1,2.0,0,0,206.9,137286225217
PreFlop,Monsthand,53.0,false,0,0,3,35.0,2,0,253.2,137286242389
Flop,GoranPoker,25.18,false,1,6.21,2,8.21,1,1,135.9,137286297109
PreFlop,Monsthand,2.0,false,0,0,0,0,0,0,282.2,137286391946
PreFlop,CI58,5.0,true,0,0,1,2.0,0,0,200.0,137286407418
River,bübli,61.22,true,2,22.75,1,2.0,4,3,114.36,137286333144
PreFlop,neomorf,5.0,false,0,0,1,2.0,0,0,200.0,137286426232
River,GoranPoker,9.78,false,2,144.85999999999999,0,0,2,4,146.86,137286474476
River,bübli,75.84,false,2,32.84,1,2.0,3,4,141.45,137286509854
River,GoranPoker,23.72,false,3,36.86,0,0,4,3,149.81,137286560738
PreFlop,CI58,2.0,false,0,0,0,0,0,0,200.0,137286617622
PreFlop,_McLobster_,5.0,true,0,0,1,2.0,0,0,228.26,137286651276
PreFlop,FTPbannedMe,4.0,false,0,0,1,2.0,0,0,243.17,137286671817
PreFlop,Yaaaazz,13.0,false,0,0,2,8.0,0,0,206.9,137286690641
PreFlop,CI58,5.0,false,0,0,1,2.0,0,0,200.0,137286716705
Turn,butcheN18,18.68,false,2,17.06,1,2.0,2,0,215.0,137309377692
PreFlop,butcheN18,5.0,true,0,0,1,2.0,0,0,223.5,137309403707
PreFlop,YaDaDaMeeN21,5.0,true,0,0,1,2.0,0,0,237.2,137309625251
PreFlop,Icantoo61,5.0,false,0,0,1,2.0,0,0,116.56,137309633028
Flop,CI58,15.0,true,1,8.59,1,2.0,1,1,235.95,137309645178
River,RUS)Timur,109.56,false,2,39.37,2,9.370000000000001,4,3,200.0,137309662962
River,RUS)Timur,97.16,false,3,42.08,1,2.0,4,3,255.66,137309685452
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,200.0,137309721600
River,tarlardon1,37.84,false,2,50.21,2,8.21,2,2,89.82,137309729877
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,203.0,137309757437
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,206.0,137309773280
Turn,tarlardon1,41.06,false,2,29.630000000000003,1,2.0,2,1,194.68,137309828615
Flop,tarlardon1,11.72,false,1,5.59,1,2.0,1,1,248.22,137309856529
Flop,tarlardon1,15.0,false,1,7.16,1,2.0,1,0,255.05,137309869561
River,RUS)Timur,189.0,false,2,49.66,4,57.66,2,3,293.58,137309880804
Turn,EsKoTeiRo,37.3,false,2,20.3,1,4.3,5,3,200.0,137309913927
PreFlop,CI58,4.0,false,0,0,1,2.0,0,0,204.94,137309990809
River,EsKoTeiRo,39.0,true,1,24.0,2,7.0,1,5,424.78,137310197958
River,smlsalot,54.7,false,1,15.35,1,2.0,4,4,200.0,137310226503
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,444.02,137310250130
River,smlsalot,154.68,false,3,55.16,2,12.0,5,2,225.89,137310263709
Turn,YaDaDaMeeN21,48.0,false,2,46.0,1,2.0,4,0,216.47,137310302814
River,butcheN18,91.68,false,2,35.84,1,2.0,4,3,226.33,137310333964
Flop,smlsalot,9.0,true,1,4.0,1,2.0,1,1,293.93,137310361415
PreFlop,smlsalot,5.0,false,0,0,1,2.0,0,0,298.53,137310371962
PreFlop,butcheN18,5.0,true,0,0,1,2.0,0,0,270.37,137310388631
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,442.02,137310402832
Flop,John_les,13.0,false,1,8.0,1,2.0,1,1,200.0,137310415152
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,445.02,137310436533
PreFlop,CI58,2.0,false,0,0,0,0,0,0,203.0,137310431789
PreFlop,EsKoTeiRo,10.0,false,0,0,2,6.5,0,0,448.02,137310450485
PreFlop,jackmonoloye,5.0,true,0,0,1,2.0,0,0,197.0,137310468085
Turn,smlsalot,33.0,false,2,23.0,1,2.0,2,1,294.53,137310486291
PreFlop,RUS)Timur,2.0,false,0,0,0,0,0,0,346.91,137310509707
PreFlop,smlsalot,2.0,false,0,0,0,0,0,0,405.8,137310555639
River,smlsalot,192.1,false,3,111.28,3,38.28,4,1,311.05,137310521246
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,452.52,137310567485
Flop,smlsalot,13.0,true,1,8.0,1,2.0,1,1,405.8,137310580412
River,jackmonoloye,141.2,false,3,173.84,2,13.84,4,1,194.0,137310594094
PreFlop,jackmonoloye,5.0,true,0,0,1,2.0,0,0,265.8,137310617002
Flop,Jinn_Rooh,8.04,false,1,5.15,1,2.0,1,0,200.0,137310625034
Flop,IseeUcards,17.0,false,1,10.0,1,2.0,2,0,200.0,137310646347
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,452.52,137310657882
PreFlop,smlsalot,5.0,false,0,0,1,2.0,0,0,398.22,137310674344
Turn,RUS)Timur,29.32,true,2,24.52,1,2.0,2,1,343.91,137310685880
River,jackmonoloye,69.0,false,2,50.1,2,8.0,2,3,268.8,137310713172
PreFlop,IseeUcards,15.0,false,0,0,2,8.0,0,0,200.0,137310742525
River,IseeUcards,35.0,false,2,16.0,1,2.0,2,2,209.0,137310757270
PreFlop,EsKoTeiRo,12.8,false,0,0,2,7.4,0,0,453.52,137310782837
Flop,smlsalot,15.0,false,1,10.0,1,2.0,1,0,382.22,137310801813
PreFlop,RUS)Timur,2.0,false,0,0,0,0,0,0,358.75,137310810064
PreFlop,YaDaDaMeeN21,2.0,false,0,0,0,0,0,0,218.31,137310815254
River,jackmonoloye,81.14,false,3,70.24000000000001,1,2.0,4,1,287.6,137310825328
PreFlop,jackmonoloye,5.0,false,0,0,1,2.0,0,0,328.87,137310863126
River,smlsalot,67.0,true,2,60.4,2,8.0,2,4,383.54,137310871519
Flop,Jinn_Rooh,18.0,false,1,6.0,1,6.0,2,2,200.0,137310906977
River,Jinn_Rooh,57.86,false,1,14.13,2,6.5,2,5,209.19,137310919814
PreFlop,jackmonoloye,11.72,false,0,0,2,6.36,0,0,327.87,137310947085
Turn,CI58,122.0,false,2,76.0,3,22.36,3,1,200.0,137310963861
Turn,EsKoTeiRo,39.0,false,2,38.0,1,2.0,3,2,451.92,137310992488
PreFlop,Jinn_Rooh,15.0,false,0,0,2,8.0,0,0,235.02,137311011537
PreFlop,CI58,2.0,false,0,0,0,0,0,0,261.56,137311052810
Turn,jackmonoloye,8.0,false,1,3.82,0,0,3,8,335.23,137311020823
PreFlop,jackmonoloye,2.0,false,0,0,0,0,0,0,340.87,137311063370
PreFlop,EsKoTeiRo,4.0,false,0,0,1,2.0,0,0,466.16,137311088256
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,465.16,137311076469
River,YaDaDaMeeN21,177.0,false,3,82.0,1,2.0,4,1,214.31,137311095438
River,butcheN18,10.04,false,0,0,1,2.0,1,6,200.0,137311120806
PreFlop,IseeUcards,15.0,true,0,0,2,8.0,0,0,200.0,137311163549
Flop,CI58,24.38,false,1,4.0,2,12.69,2,2,261.56,137311138306
Turn,EsKoTeiRo,13.0,false,1,10.0,1,2.0,1,3,462.16,137311171621
PreFlop,jackmonoloye,5.0,false,0,0,1,2.0,0,0,253.87,137311185839
PreFlop,jackmonoloye,2.0,false,0,0,0,0,0,0,256.87,137311195469
River,jackmonoloye,116.0,false,2,48.0,1,2.0,4,4,257.87,137311205958
PreFlop,Jinn_Rooh,2.0,false,0,0,0,0,0,0,231.1,137311229840
PreFlop,IseeUcards,5.0,false,0,0,1,2.0,0,0,209.0,137311237500
PreFlop,Jinn_Rooh,5.0,true,0,0,1,2.0,0,0,231.1,137311248390
Flop,jackmonoloye,105.0,false,1,51.1,3,22.4,1,0,317.07,137311258450
Flop,smlsalot,15.0,false,1,8.0,1,2.0,1,0,329.38,137311286912
Flop,smlsalot,11.48,false,1,6.0,1,2.0,1,0,337.7,137311300354
Turn,EsKoTeiRo,15.0,false,1,8.0,1,2.0,1,2,465.58,137311313376
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,473.9,137311332038
PreFlop,butcheN18,5.0,false,0,0,1,2.0,0,0,200.0,137311338923
Flop,EsKoTeiRo,39.0,true,1,24.0,2,8.0,1,1,473.9,137311349950
Flop,EsKoTeiRo,11.72,false,1,8.0,1,2.0,1,1,493.14,137311367536
River,smlsalot,39.0,false,3,60.0,0,0,5,3,324.42,137311378444
PreFlop,butcheN18,5.0,false,0,0,1,2.0,0,0,200.0,137311411403
PreFlop,jackmonoloye,56.0,false,0,0,3,26.0,1,0,349.27,137311419788
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,481.97,137311452511
Flop,YaDaDaMeeN21,12.0,true,1,8.0,1,2.0,1,1,275.51,137311438182
PreFlop,IseeUcards,5.0,false,0,0,1,2.0,0,0,206.0,137311458825
River,smlsalot,131.0,false,2,150.0,3,26.0,2,3,338.66,137311466201
PreFlop,butcheN18,5.0,true,0,0,1,2.0,0,0,200.0,137311493985
PreFlop,JulyShort,5.0,false,0,0,1,2.0,0,0,77.0,137311485831
PreFlop,IseeUcards,15.0,false,0,0,2,8.0,0,0,206.0,137311512483
Turn,butcheN18,43.68,false,2,37.84,1,2.0,3,1,203.0,137311521226
PreFlop,EsKoTeiRo,4.0,false,0,0,1,2.0,0,0,412.97,137311556715
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,411.97,137311543942
PreFlop,butcheN18,2.0,false,0,0,0,0,0,0,226.87,137311563527
PreFlop,butcheN18,12.0,false,0,0,2,7.0,0,0,227.87,137311569763
PreFlop,smlsalot,5.0,false,0,0,1,2.0,0,0,394.86,137311577712
River,IseeUcards,32.0,true,1,9.0,2,6.0,1,5,200.0,137311589483
PreFlop,butcheN18,5.0,false,0,0,1,2.0,0,0,234.87,137311612497
PreFlop,smlsalot,14.0,false,0,0,2,8.0,0,0,395.86,137311620327
River,JulyShort,162.0,false,0,0,3,72.0,2,0,75.0,137311627993
PreFlop,jackmonoloye,10.72,false,0,0,2,6.36,0,0,312.27,137311640969
Flop,jackmonoloye,39.48,true,1,18.85,2,7.08,1,1,318.63,137311648719
Flop,jackmonoloye,20.0,false,1,9.55,1,2.0,4,4,332.09,137311690950
PreFlop,IseeUcards,5.0,true,0,0,1,2.0,0,0,252.96,137311707241
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,399.97,137311715044
PreFlop,IseeUcards,5.0,false,0,0,1,2.0,0,0,255.96,137311725476
River,zylin888,57.0,false,2,51.0,2,7.0,2,2,197.0,137311733444
PreFlop,JulyShort,5.0,true,0,0,1,2.0,0,0,133.96,137311750812
Flop,butcheN18,27.36,false,1,6.68,2,8.68,1,1,223.87,137311760939
PreFlop,butcheN18,5.0,true,0,0,1,2.0,0,0,237.32,137311774608
Turn,JulyShort,23.16,false,2,19.93,1,2.0,2,1,136.96,137311800572
PreFlop,jackmonoloye,5.0,false,0,0,1,2.0,0,0,337.93,137311783187
River,IseeUcards,20.0,false,1,12.0,1,2.0,2,8,255.96,137311814213
PreFlop,smlsalot,5.0,false,0,0,1,2.0,0,0,352.78,137311847985
Flop,IseeUcards,13.0,false,1,8.0,1,2.0,1,1,269.06,137311836850
PreFlop,jackmonoloye,5.0,true,0,0,1,2.0,0,0,333.93,137311855158
River,butcheN18,231.77,false,3,102.59,1,2.0,6,5,232.32,137311866279
Turn,smlsalot,31.0,false,2,22.0,1,2.0,3,0,355.78,137311900628
PreFlop,smlsalot,5.0,false,0,0,1,2.0,0,0,223.38,137311985830
PreFlop,Rojocapo1987,2.0,false,0,0,0,0,0,0,200.0,137311981081
PreFlop,Rojocapo1987,42.0,true,0,0,3,28.0,0,0,200.0,137311994111
Flop,JulyShort,21.32,false,1,14.0,1,2.0,3,1,128.0,137312007288
PreFlop,staskmp,2.0,false,0,0,0,0,0,0,200.0,137312033439
River,EsKoTeiRo,61.0,false,3,88.0,1,2.0,3,3,229.12,137312041315
PreFlop,butcheN18,5.0,false,0,0,1,2.0,0,0,282.26,137312072382
Flop,JulyShort,13.0,false,1,7.82,1,2.0,1,0,143.28,137312063614
PreFlop,Rojocapo1987,2.0,false,0,0,0,0,0,0,216.92,137312083729
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,254.38,137312117436
PreFlop,butcheN18,5.0,true,0,0,1,2.0,0,0,282.26,137312131337
River,staskmp,137.5,false,2,20.28,2,15.91,3,4,200.0,137312138804
River,smlsalot,94.36,false,2,18.0,2,14.0,3,0,46.68,137312168394
Turn,butcheN18,22.0,false,1,13.02,1,2.0,2,5,217.01,137312178222
PreFlop,javitor91,8.0,false,0,0,1,2.0,0,0,200.0,137312220262
PreFlop,javitor91,12.0,false,0,0,2,8.0,0,0,206.0,137312230112
Flop,butcheN18,13.0,false,1,7.7,1,2.0,1,1,231.02,137312249922
PreFlop,butcheN18,5.0,false,0,0,1,2.0,0,0,228.02,137312244146
Flop,jackmonoloye,43.0,false,1,12.0,2,14.0,2,1,572.88,137312261298
PreFlop,smlsalot,15.0,true,0,0,2,8.0,0,0,83.56,137312274766
River,jackmonoloye,193.12,false,0,0,4,56.0,1,0,591.94,137312285755
PreFlop,butcheN18,12.0,false,0,0,2,8.0,0,0,237.44,137312295836
PreFlop,jackmonoloye,5.0,false,0,0,1,2.0,0,0,588.54,137312325885
PreFlop,IseeUcards,30.0,false,0,0,2,8.0,3,0,219.89,137312311502
Flop,smlsalot,25.0,false,1,24.0,2,7.0,1,0,95.16,137312331872
Turn,staskmp,13.0,false,1,8.19,1,2.0,1,2,247.45,137312355243
Turn,SexyAngeline,25.48,false,2,24.020000000000003,1,2.0,2,0,77.0,137312344551
PreFlop,zylin888,5.0,false,0,0,1,2.0,0,0,216.44,137312397941
