street,winner,total_pot,is_button,bets,bets_amount,raises,raises_amount,calls,checks,"initial_stack,",id
River,javitor91,28.9,false,0,0,2,8.0,1,0,200.0,137312385818
River,staskmp,9.0,false,0,0,1,2.0,1,6,257.87,137312404978
Turn,staskmp,34.5,false,2,32.75,1,2.0,3,0,262.47,137312416471
Turn,IseeUcards,43.0,false,2,37.0,1,2.0,3,1,236.89,137312426410
PreFlop,butcheN18,2.0,false,0,0,0,0,0,0,237.44,137312441898
PreFlop,zylin888,2.0,false,0,0,0,0,0,0,214.44,137312437622
River,1975piskov,122.32,false,2,47.66,1,2.0,4,4,80.0,137312455689
River,staskmp,11.3,false,2,11.15,0,0,2,3,262.67,137312477282
Turn,IseeUcards,23.0,false,2,18.0,1,2.0,2,2,256.95,137312487369
PreFlop,staskmp,5.0,true,0,0,1,2.0,0,0,267.31,137312501834
PreFlop,SexyAngeline,14.0,false,0,0,2,8.0,0,0,102.97,137312507096
Turn,SexyAngeline,87.98,true,2,92.97,2,8.0,3,2,110.97,137312523524
PreFlop,javitor91,5.0,false,0,0,1,2.0,0,0,208.65,137312542259
Flop,jackmonoloye,15.0,false,1,7.16,1,2.0,1,1,573.54,137312550036
PreFlop,SexyAngeline,322.32,false,0,0,4,80.0,2,0,156.66,137312576870
River,1975piskov,151.2,false,2,45.1,3,26.0,7,7,81.22,137312596589
River,jackmonoloye,330.52,false,2,503.76,2,6.44,4,3,513.76,137312618976
River,1975piskov,37.08,false,2,28.24,1,2.0,3,3,151.52,137312632105
River,zylin888,37.0,false,2,25.0,1,2.0,2,3,212.76,137312645154
PreFlop,jackmonoloye,5.0,true,0,0,1,2.0,0,0,678.72,137312675956
PreFlop,zylin888,13.0,false,0,0,2,8.0,0,0,231.1,137312665944
PreFlop,SexyAngeline,5.0,false,0,0,1,2.0,0,0,60.46,137312683666
Turn,javitor91,57.0,false,1,27.22,2,8.0,2,2,208.65,137312689147
River,1975piskov,39.0,false,2,22.0,1,2.0,4,4,219.59,137312730572
Turn,SexyAngeline,14.32,false,1,6.84,1,2.0,2,4,63.46,137312752285
River,zylin888,208.0,false,3,97.0,1,2.0,4,3,235.1,137312766639
PreFlop,1975piskov,5.0,true,0,0,1,2.0,0,0,134.39,137312789799
River,IseeUcards,91.2,false,2,36.1,1,2.0,4,3,200.0,137312796279
PreFlop,zylin888,5.0,true,0,0,1,2.0,0,0,334.3,137312815044
PreFlop,IseeUcards,2.0,false,0,0,0,0,0,0,246.3,137312824938
River,SexyAngeline,142.4,false,1,32.55,3,40.55,2,0,69.7,137312835356
River,IseeUcards,74.92,true,3,98.21000000000001,1,2.0,4,2,246.3,137312849980
PreFlop,butcheN18,15.0,false,0,0,2,8.0,0,0,226.44,137312871394
Flop,IseeUcards,21.0,false,1,12.0,1,2.0,3,3,283.71,137312887619
River,HerrJanks,42.0,false,2,16.5,1,2.0,3,3,200.0,137312903639
Flop,1975piskov,15.0,false,1,7.16,1,2.0,1,1,35.69,137312916388
Turn,HerrJanks,9.0,true,1,5.73,1,2.0,1,3,218.61,137312935574
River,SexyAngeline,13.32,false,0,0,1,2.0,2,9,136.6,137312948880
River,cdndough$boy,49.42,false,3,43.31,1,2.0,3,2,160.0,137312965247
River,cdndough$boy,30.58,false,2,11.29,1,2.0,3,3,182.49,137312978773
River,cdndough$boy,19.54,true,2,6.77,0,0,4,6,196.4,137312993627
Turn,IseeUcards,14.56,false,2,18.78,0,0,2,1,287.33,137313026287
Turn,javitor91,40.52,false,2,31.73,2,7.73,2,1,200.0,137313042031
River,IseeUcards,28.0,true,1,8.0,1,2.0,3,7,293.45,137313062715
River,HerrJanks,27.34,false,1,8.67,1,2.0,2,0,200.45,137313082294
PreFlop,IseeUcards,5.0,false,0,0,1,2.0,0,0,308.19,137313096548
River,jackmonoloye,129.32,true,3,57.16,1,2.0,4,3,673.76,137313103498
PreFlop,jackmonoloye,5.0,false,0,0,1,2.0,0,0,737.12,137313131042
Turn,IseeUcards,32.0,false,2,22.0,2,4.0,3,1,248.03,137313118983
Flop,SexyAngeline,10.88,false,1,7.16,1,2.0,1,1,137.44,137313166594
River,HerrJanks,234.4,false,3,109.94999999999999,1,2.0,5,3,212.39,137313138084
Flop,javitor91,19.0,false,1,12.0,1,2.0,2,1,206.94,137313174489
Flop,SexyAngeline,24.2,false,1,11.55,2,6.0,1,0,141.39,137313189134
PreFlop,cdndough$boy,5.0,false,0,0,1,2.0,0,0,151.3,137313202247
River,cdndough$boy,176.0,false,2,69.2,2,4.0,7,1,154.3,137313211285
Flop,jackmonoloye,13.0,false,1,8.0,1,2.0,1,1,737.12,137313236558
PreFlop,IseeUcards,2.0,false,0,0,0,0,0,0,257.09,137313229642
River,q3storm,9.0,false,1,2.0,0,0,2,6,77.0,137313245996
River,HerrJanks,65.96,false,2,26.98,1,2.0,3,2,326.54,137313257640
PreFlop,CATHEB,2.0,false,0,0,0,0,0,0,200.0,137313312598
PreFlop,CATHEB,20.0,false,0,0,2,8.0,1,0,201.0,137313319437
River,HerrJanks,27.26,false,1,7.63,1,2.0,2,4,357.5,137313331450
PreFlop,cdndough$boy,5.0,true,0,0,1,2.0,0,0,419.24,137313347215
PreFlop,cdndough$boy,5.0,false,0,0,1,2.0,0,0,425.02,137313368163
PreFlop,IseeUcards,11.0,false,0,0,2,7.0,0,0,200.0,137313394643
Turn,CATHEB,29.54,false,1,8.27,2,10.27,2,4,202.87,137313405278
River,IseeUcards,89.66,true,3,38.83,1,2.0,5,1,205.0,137313438291
PreFlop,IseeUcards,5.0,false,0,0,1,2.0,0,0,249.03,137313467344
Turn,IseeUcards,26.0,false,2,24.0,1,2.0,2,2,252.03,137313471318
Turn,CATHEB,60.0,false,2,59.97,1,2.0,4,2,214.81,137313488093
PreFlop,zylin888,9.88,false,0,0,2,6.44,0,0,304.3,137313503072
Flop,IseeUcards,15.0,false,1,9.31,1,2.0,1,0,259.36,137313514080
PreFlop,SexyAngeline,5.0,false,0,0,1,2.0,0,0,135.24,137313525325
River,HerrJanks,124.84,true,3,56.480000000000004,1,2.0,4,0,354.85,137313537836
PreFlop,q3storm,5.0,false,0,0,1,2.0,0,0,40.27,137313557301
River,AndreyS997,49.7,false,3,65.81,1,2.0,3,3,90.0,137313563634
PreFlop,YaDaDaMeeN21,5.0,false,0,0,1,2.0,0,0,261.97,137313605423
PreFlop,q3storm,15.0,true,0,0,2,8.0,0,0,79.0,137313612231
PreFlop,YaDaDaMeeN21,4.0,false,0,0,1,2.0,0,0,262.97,137313620068
Flop,SexyAngeline,15.0,false,1,7.16,1,2.0,1,1,97.49,137313640719
Turn,HerrJanks,18.0,true,1,8.59,2,6.0,1,3,412.97,137313652638
PreFlop,HerrJanks,11.88,false,0,0,2,6.44,0,0,422.16,137313705163
River,IseeUcards,27.36,false,1,6.68,1,2.0,2,5,256.68,137313684975
River,HerrJanks,56.0,false,1,7.63,2,9.629999999999999,2,4,429.6,137313713470
River,CATHEB,100.21,false,2,27.07,1,2.0,6,7,220.97,137313737526
PreFlop,YaDaDaMeeN21,4.0,false,0,0,1,2.0,0,0,234.9,137313771264
River,CATHEB,255.0,false,3,245.31,3,24.0,3,0,285.31,137313779111
Turn,CATHEB,98.42,false,2,38.21,2,27.21,4,3,411.51,137313828366
PreFlop,q3storm,2.0,false,0,0,0,0,0,0,80.0,137313866825
River,Avtovo,50.8,false,0,0,2,7.0,2,6,200.0,137313873275
PreFlop,YaDaDaMeeN21,2.0,false,0,0,0,0,0,0,216.52,137313890543
PreFlop,YaDaDaMeeN21,10.68,false,0,0,2,6.34,0,0,217.52,137313894490
Turn,YaDaDaMeeN21,11.0,true,1,8.0,1,2.0,1,3,223.86,137313910924
Flop,CATHEB,15.0,false,1,8.0,1,2.0,1,0,455.92,137313928851
Turn,IseeUcards,36.36,false,2,34.18,1,2.0,3,2,241.64,137313947466
PreFlop,cdndough$boy,2.0,false,0,0,0,0,0,0,267.93,137313976395
PreFlop,YaDaDaMeeN21,5.0,false,0,0,1,2.0,0,0,229.36,137313982015
Flop,q3storm,10.0,false,1,7.0,1,2.0,1,0,78.0,137313987705
River,cdndough$boy,17.0,false,0,0,1,2.0,2,6,228.36,137314022627
PreFlop,AndreyS997,11.0,false,0,0,2,7.0,0,0,84.43,137314034837
PreFlop,AndreyS997,5.0,true,0,0,1,2.0,0,0,89.43,137314056246
River,CATHEB,24.0,false,2,24.19,1,2.0,2,3,462.24,137314063004
River,AndreyS997,81.32,false,2,34.16,1,2.0,4,3,92.43,137314081527
Flop,YaDaDaMeeN21,13.0,false,1,10.0,1,2.0,1,0,224.36,137314111772
River,Avtovo,38.2,false,2,14.1,1,2.0,3,4,212.77,137314125742
River,cdndough$boy,113.0,false,2,29.0,2,22.0,3,2,234.6,137314151292
Flop,cdndough$boy,68.0,false,1,32.6,2,8.0,2,1,283.8,137314202844
River,CATHEB,27.0,false,0,0,1,2.0,3,12,465.16,137314171616
River,HerrJanks,55.0,false,3,130.0,2,6.0,3,2,400.4,137314237496
PreFlop,CATHEB,5.0,true,0,0,1,2.0,0,0,479.36,137314296934
Flop,IseeUcards,23.46,true,1,5.73,2,7.73,2,1,200.0,137314267634
PreFlop,HerrJanks,5.0,false,0,0,1,2.0,0,0,426.92,137314305524
River,YaDaDaMeeN21,446.56,false,1,4.3,4,102.89999999999999,2,1,222.78,137314311246
PreFlop,YaDaDaMeeN21,4.0,false,0,0,1,2.0,0,0,443.76,137314335172
River,HerrJanks,74.52,false,2,23.63,2,9.629999999999999,3,3,429.92,137314350493
Flop,AndreyS997,13.0,false,1,12.0,1,2.0,2,0,200.0,137314383554
PreFlop,YaDaDaMeeN21,5.0,false,0,0,1,2.0,0,0,445.76,137314398210
River,cdndough$boy,68.78,false,2,25.39,1,2.0,4,4,200.0,137314408446
River,CATHEB,28.0,false,2,22.0,1,2.0,2,3,480.36,137314434894
PreFlop,CATHEB,5.0,true,0,0,1,2.0,0,0,494.1,137314453440
River,Avtovo,86.0,false,1,25.0,2,7.0,2,5,201.91,137314459399
PreFlop,CATHEB,5.0,false,0,0,1,2.0,0,0,455.1,137314483604
Turn,YaDaDaMeeN21,59.88,true,2,54.62,1,2.0,5,3,445.76,137314490414
River,HerrJanks,141.48,false,0,0,3,31.0,2,0,461.38,137314509866
PreFlop,IseeUcards,2.0,false,0,0,0,0,0,0,200.0,137314527837
Flop,HerrJanks,10.0,false,1,6.36,1,2.0,1,1,532.32,137314532949
River,IseeUcards,26.0,true,2,15.0,1,2.0,3,5,200.0,137314542531
River,rmanjkeee,69.74,false,2,28.12,1,2.0,4,5,80.0,137314570766
Flop,Avtovo,10.0,false,1,5.73,1,2.0,1,1,224.15,137314603938
Flop,rmanjkeee,9.0,true,1,6.0,1,2.0,1,1,109.32,137314619957
PreFlop,Monsthand,5.0,true,0,0,1,2.0,0,0,200.0,137314661194
PreFlop,rmanjkeee,5.0,false,0,0,1,2.0,0,0,113.92,137314653289
PreFlop,cdndough$boy,5.0,false,0,0,1,2.0,0,0,198.13,137314637699
PreFlop,YaDaDaMeeN21,35.0,false,0,0,3,23.0,0,0,478.99,137314672743
Flop,YaDaDaMeeN21,11.0,false,1,8.0,1,2.0,1,1,497.99,137314691771
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,200.0,137314720232
PreFlop,AndreyS997,5.0,false,0,0,1,2.0,0,0,199.42,137314705928
PreFlop,YaDaDaMeeN21,4.0,false,0,0,1,2.0,0,0,501.49,137314731988
Flop,Avtovo,15.0,false,1,8.59,1,2.0,1,1,226.7,137314741353
Turn,AndreyS997,41.06,false,2,29.630000000000003,2,6.0,2,0,202.42,137314758990
River,AndreyS997,163.2,false,2,34.16,3,31.25,3,4,221.6,137314783926
Turn,AndreyS997,87.98,true,2,64.08,2,10.0,4,3,301.4,137314818723
PreFlop,Avtovo,5.0,false,0,0,1,2.0,0,0,235.02,137314853260
River,sylvian31,366.94,true,3,195.66,1,2.0,6,5,200.0,137314862732
River,Monsthand,168.0,false,3,76.5,1,2.0,4,0,200.0,137314906330
PreFlop,HerrJanks,2.0,false,0,0,0,0,0,0,418.65,137314956973
Turn,IseeUcards,41.0,false,2,36.0,1,2.0,3,1,201.93,137314937869
PreFlop,cdndough$boy,49.0,false,0,0,3,24.0,1,0,128.3,137314964951
PreFlop,IseeUcards,2.0,false,0,0,0,0,0,0,224.09,137314986370
River,AndreyS997,14.0,true,1,22.0,1,2.0,1,5,334.09,137314999975
River,sylvian31,322.6,false,1,34.84,5,130.52,2,0,383.01,137315020249
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,204.03,137315218855
River,AndreyS997,101.62,false,2,44.81,1,2.0,3,2,364.98,137315183105
Flop,cee23,10.0,false,1,5.73,1,2.0,1,0,200.0,137315231823
River,Monsthand,407.0,false,1,19.5,3,27.5,2,1,202.0,137315246524
PreFlop,cee23,41.0,false,0,0,3,27.0,0,0,204.55,137315267951
PreFlop,AndreyS997,5.0,false,0,0,1,2.0,0,0,412.99,137315287515
River,Monsthand,48.34,true,3,44.67,1,2.0,3,3,401.2,137315320140
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,423.69,137315368059
Turn,AndreyS997,40.74,true,2,52.279999999999994,1,2.0,2,2,400.99,137315347135
Turn,cee23,25.74,true,2,24.87,1,2.0,3,3,222.55,137315375237
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,426.69,137315407468
Flop,cee23,14.0,false,1,8.02,1,2.0,1,1,236.26,137315424841
PreFlop,EsKoTeiRo,5.0,true,0,0,1,2.0,0,0,200.0,137315447172
River,EsKoTeiRo,247.0,false,3,116.0,1,2.0,4,2,203.0,137315528089
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,372.69,137315569009
PreFlop,cee23,2.0,false,0,0,0,0,0,0,243.63,137315557849
Flop,EsKoTeiRo,20.0,false,1,14.0,1,2.0,2,1,325.2,137315580498
River,Armacharmani,25.0,false,1,7.0,1,2.0,2,5,69.85,137315635738
River,Armacharmani,26.0,false,2,22.0,1,2.0,2,3,70.79,137315688318
Turn,Armacharmani,29.8,true,2,20.0,1,2.0,2,1,68.17,137315778864
PreFlop,HerrJanks,5.0,false,0,0,1,2.0,0,0,389.65,137315803738
PreFlop,VinQbator,5.0,false,0,0,1,2.0,0,0,200.0,137315845138
Turn,EsKoTeiRo,13.0,false,1,10.0,1,2.0,1,3,332.3,137315880880
River,EsKoTeiRo,22.0,false,1,4.0,1,2.0,2,5,338.72,137315902954
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,350.29,137315928569
PreFlop,Monsthand,2.0,false,0,0,0,0,0,0,353.29,137315985891
River,Monsthand,21.0,true,0,0,2,6.0,1,6,353.29,137316015623
River,AndreyS997,496.78,false,3,180.39,3,34.0,6,2,401.53,137316046870
PreFlop,Monsthand,5.0,false,0,0,1,2.0,0,0,349.35,137316110639
PreFlop,YaDaDaMeeN21,5.0,true,0,0,1,2.0,0,0,444.0,137316190703
PreFlop,cee23,5.0,true,0,0,1,2.0,0,0,207.63,137316172087
PreFlop,Monsthand,15.0,true,0,0,2,8.0,0,0,349.35,137316220876
River,Optimist1945,29.9,false,2,29.45,1,2.0,2,3,200.0,137316252050
PreFlop,AndreyS997,5.0,true,0,0,1,2.0,0,0,652.12,137316283431
Flop,Optimist1945,11.0,true,1,8.0,1,2.0,1,1,213.1,137316300211
PreFlop,EsKoTeiRo,10.0,false,0,0,2,7.0,0,0,605.16,137316369621
PreFlop,EsKoTeiRo,4.0,false,0,0,1,2.0,0,0,610.16,137316385165
PreFlop,cee23,5.0,false,0,0,1,2.0,0,0,200.0,137316425938
Flop,YaDaDaMeeN21,11.0,false,1,6.0,1,2.0,1,1,441.0,137316438475
PreFlop,cee23,4.0,false,0,0,1,2.0,0,0,200.0,137316458299
River,Monsthand,43.0,false,2,41.0,1,2.0,2,3,355.35,137316480367
PreFlop,EsKoTeiRo,5.0,true,0,0,1,2.0,0,0,593.16,137316510439
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,596.16,137316557375
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,599.16,137316568609
PreFlop,sylvian31,5.0,true,0,0,1,2.0,0,0,544.51,137316587314
PreFlop,EsKoTeiRo,2.0,false,0,0,0,0,0,0,596.16,137316623950
River,kvkpro,36.8,true,2,27.97,1,2.0,3,4,73.0,137316634507
PreFlop,cee23,5.0,false,0,0,1,2.0,0,0,200.0,137316676693
PreFlop,Monsthand,15.0,true,0,0,2,8.0,0,0,368.41,137316696956
Flop,kvkpro,33.0,false,1,9.0,2,11.0,2,1,67.74,137316770949
Flop,cee23,15.0,false,1,8.59,1,2.0,1,1,200.0,137316847120
PreFlop,PeterHummel,5.0,false,0,0,1,2.0,0,0,177.0,137316867481
PreFlop,EsKoTeiRo,12.0,false,0,0,2,7.0,0,0,588.16,137316885762
Turn,AndreyS997,12.0,false,1,6.0,1,2.0,2,4,641.12,137316948346
River,Monsthand,77.6,false,2,31.3,1,2.0,3,3,370.41,137316986412
PreFlop,cee23,15.0,true,0,0,2,8.0,0,0,200.0,137317098392
Turn,PeterHummel,35.0,true,2,30.0,1,2.0,2,1,177.0,137317119192
River,PeterHummel,85.0,false,2,35.0,1,2.0,3,4,178.67,137317165034
River,Monsthand,371.0,true,2,142.0,3,23.0,3,2,404.91,137317217195
PreFlop,PeterHummel,2.0,false,0,0,0,0,0,0,219.87,137317291339
PreFlop,Monsthand,15.0,false,0,0,2,8.0,0,0,632.79,137317421577
PreFlop,PeterHummel,2.0,false,0,0,0,0,0,0,219.87,137317457077
PreFlop,PeterHummel,5.0,true,0,0,1,2.0,0,0,219.87,137317489543
PreFlop,aseban11,5.0,false,0,0,1,2.0,0,0,200.0,137317521483
Flop,EsKoTeiRo,42.0,false,1,24.0,2,8.0,1,0,485.4,137317500052
Turn,EsKoTeiRo,33.6,false,2,33.3,1,2.0,2,1,505.51,137317540849
PreFlop,ersevi6,2.0,false,0,0,0,0,0,0,80.0,137317597482
River,PeterHummel,77.0,false,2,32.0,1,2.0,3,3,202.87,137317614130
PreFlop,ersevi6,5.0,true,0,0,1,2.0,0,0,80.0,137317643225
PreFlop,ersevi6,15.0,false,0,0,2,8.0,0,0,83.0,137317665083
PreFlop,aseban11,5.0,false,0,0,1,2.0,0,0,200.0,137317706358
PreFlop,PeterHummel,5.0,false,0,0,1,2.0,0,0,238.07,137317691459
PreFlop,Monsthand,7.0,false,0,0,1,2.0,1,0,635.79,137317783407
PreFlop,aseban11,7.0,true,0,0,1,2.0,1,0,200.0,137317815880
Flop,Monsthand,39.0,false,1,20.0,2,8.0,1,1,640.79,137317836750
River,PeterHummel,29.4,true,2,24.2,1,2.0,2,3,220.07,137317892378
River,PeterHummel,273.0,false,2,116.0,3,98.0,2,2,234.95,137317931355
PreFlop,EsKoTeiRo,4.0,false,0,0,1,2.0,0,0,327.3,137317961748
River,harryjoker,125.0,true,2,21.16,2,16.0,3,2,61.0,137318065522
PreFlop,Yaaaazz,5.0,false,0,0,1,2.0,0,0,200.0,137318163450
Turn,NunoStaMaria,8.0,false,1,3.05,1,2.0,1,2,158.0,137318187036
River,NunoStaMaria,35.88,true,2,13.44,2,12.0,2,3,161.64,137318208639
Flop,NunoStaMaria,9.0,false,1,3.44,1,2.0,1,1,178.47,137318244283
PreFlop,NunoStaMaria,5.0,false,0,0,1,2.0,0,0,183.07,137318303081
PreFlop,ersevi6,38.0,false,0,0,3,25.0,0,0,127.55,137318273486
River,EsKoTeiRo,63.0,true,1,12.0,2,6.0,2,5,331.3,137318317904
Flop,SHIBIAO,48.2,true,1,8.0,3,28.6,1,1,114.15,137318346642
Flop,EsKoTeiRo,55.0,false,1,24.0,2,7.0,2,2,361.5,137318372964
River,NunoStaMaria,30.1,false,2,11.05,1,2.0,3,3,115.47,137318393660
Turn,EsKoTeiRo,31.0,false,2,30.0,1,2.0,2,0,396.02,137318427001
Turn,PeterHummel,70.56,false,2,23.28,2,17.28,4,1,345.71,137318459592
PreFlop,1337Gambl0r,5.0,true,0,0,1,2.0,0,0,200.0,137318555436
PreFlop,EsKoTeiRo,23.0,false,0,0,2,9.0,2,0,405.62,137318522857
Turn,IseeUcards,6.0,false,1,5.73,0,0,2,5,200.0,137318585360
River,NunoStaMaria,49.7,false,2,18.35,1,2.0,3,2,75.89,137318622831
PreFlop,ersevi6,2.0,false,0,0,0,0,0,0,100.5,137318652270
River,PeterHummel,24.44,false,1,6.72,1,2.0,2,5,380.19,137318670521
PreFlop,PeterHummel,13.0,false,0,0,2,7.0,0,0,390.81,137318762780
PreFlop,NunoStaMaria,5.0,false,0,0,1,2.0,0,0,68.27,137318781623
PreFlop,1337Gambl0r,5.0,false,0,0,1,2.0,0,0,200.0,137318793207
River,NunoStaMaria,149.54,false,0,0,3,26.0,1,0,71.27,137318826546
PreFlop,1337Gambl0r,15.0,false,0,0,2,8.0,0,0,200.0,137318844236
Turn,NunoStaMaria,15.0,true,1,5.72,1,2.0,1,3,145.74,137318865141
Flop,ersevi6,11.0,true,1,7.03,1,2.0,1,1,117.5,137318888207
Turn,IseeUcards,27.0,false,2,24.0,1,2.0,2,2,200.0,137318932198
PreFlop,JennyDoom,5.0,true,0,0,1,2.0,0,0,80.0,137318990711
River,IseeUcards,144.0,false,3,195.78,2,6.0,3,0,210.78,137319008228
Turn,ersevi6,9.0,false,1,6.0,1,2.0,1,2,123.0,137319070445
PreFlop,JennyDoom,5.0,false,0,0,1,2.0,0,0,83.0,137319141224
River,NunoStaMaria,68.44,true,2,23.22,1,2.0,4,5,151.06,137319101308
Flop,PeterHummel,49.0,true,1,26.0,2,7.0,2,1,364.59,137319157891
PreFlop,JennyDoom,2.0,false,0,0,0,0,0,0,86.0,137319193901
PreFlop,ersevi6,5.0,false,0,0,1,2.0,0,0,121.6,137319179434
PreFlop,EsKoTeiRo,13.0,false,0,0,2,7.0,0,0,290.35,137319249275
PreFlop,EsKoTeiRo,15.0,false,0,0,2,8.0,0,0,298.35,137319270166
PreFlop,NunoStaMaria,10.0,false,0,0,2,6.0,0,0,168.66,137319286394
PreFlop,1337Gambl0r,2.0,false,0,0,0,0,0,0,200.0,137319369581
PreFlop,NunoStaMaria,5.0,false,0,0,1,2.0,0,0,174.66,137319357615
PreFlop,1337Gambl0r,12.0,false,0,0,2,7.0,0,0,201.0,137319383558
Flop,JennyDoom,4.0,false,1,2.0,0,0,1,1,84.0,137319452550
River,EsKoTeiRo,103.0,false,1,28.0,2,7.0,3,5,305.35,137319404886
Flop,IseeUcards,12.0,false,1,7.0,1,2.0,1,1,269.98,137319473594
PreFlop,ersevi6,2.0,false,0,0,0,0,0,0,106.6,137319509788
Flop,JennyDoom,11.8,false,1,5.0,1,2.0,1,1,85.82,137319530242
PreFlop,EsKoTeiRo,5.0,false,0,0,1,2.0,0,0,357.55,137319561881
River,PeterHummel,55.4,true,3,60.8,1,2.0,3,1,328.99,137319574537
PreFlop,EsKoTeiRo,37.8,false,0,0,3,25.4,0,0,352.55,137319631567
Flop,EsKoTeiRo,15.0,false,1,8.0,1,2.0,1,0,372.95,137319677218
PreFlop,PeterHummel,10.0,false,0,0,2,7.0,0,0,355.7,137319696333
PreFlop,JennyDoom,5.0,false,0,0,1,2.0,0,0,80.0,137319716492
PreFlop,ersevi6,206.2,false,0,0,4,59.0,1,0,99.6,137319734077
PreFlop,ersevi6,5.0,false,0,0,1,2.0,0,0,203.4,137319803850
PreFlop,Kalinich90,5.0,false,0,0,1,2.0,0,0,200.0,137319840209
Flop,ersevi6,11.0,false,1,7.03,1,2.0,1,1,206.4,137319818575
PreFlop,Kalinich90,5.0,false,0,0,1,2.0,0,0,203.0,137319892163
River,EsKoTeiRo,25.0,false,1,6.0,1,2.0,2,5,372.27,137319905133
